sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,calendar_addition,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,gift_wrap_size,has_options,height,image,image_label,language,legal,license,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrpcan,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,package_size,page_layout,papercraft_paper_type,pen_addition,pen_pack_count,poster_type,price,pricecan,required_options,short_description,size_poster,size_sticker,small_image,small_image_label,special_from_date,special_price,special_to_date,status,sticker_color,sticker_sheet_ct,sticker_type,tax_class_id,territory,thumbnail,thumbnail_label,upc,updated_at,url_key,url_path,visibility,weight,width,wrapping_type,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
RP13555,,Poster Product,simple,,Default Category,base,,,,,7/2/2015 13:09,,,,,,,,,0,"34""",/1/3/13555.jpg,,ENG/FRE/SPA,Batman : Warner Bros,DC,,,Wall Poster,"DC, Comic, Batman, Joker, Dark Knight, Super Hero, Villian",Dark Knight - Sketch,,6.99,,Use config,Use config,Dark Knight - Jail,,,Product Info Column,,,,,,,3,3.5,0,"Dark Knight - Sketch 22"" x 34"" Wall Poster","22"" x 34""",,/1/3/13555.jpg,,,,,1,,,,0,USA/CAN,/1/3/13555.jpg,,882663035557,7/2/2015 13:17,dark-knight-sketch-poster,dark-knight-sketch-poster.html,4,0.125,"22""",,0,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/1/3/13555.jpg,,1,0
,,,,Posters,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Posters/Wall Posters,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Posters/Wall Posters/Movies,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Posters/Wall Posters/Super Heroes,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Posters/Wall Posters/Movies/Dark Knight,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
